,Asset Turnover (Average),Book Value Per Share * USD,COGS,Cap Spending USD Mil,Dividends USD,EBT Margin,Earnings Per Share USD,Financial Leverage (Average),Free Cash Flow Per Share * USD,Free Cash Flow USD Mil,Gross Margin,Gross Margin %,Interest Coverage,Key Ratios -> Growth,Key Ratios -> Profitability,Margins % of Sales,Net Income USD Mil,Net Int Inc & Other,Net Margin %,Operating Cash Flow USD Mil,Operating Income USD Mil,Operating Margin,Operating Margin %,Other,Payout Ratio % *,Profitability,R&D,Return on Assets %,Return on Equity %,Return on Invested Capital %,Revenue,Revenue USD Mil,SG&A,Shares Mil,Tax Rate %,Working Capital USD Mil,ticker,,Revenue %,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Income %,Net Income %,EPS %,Key Ratios -> Cash Flow,Cash Flow Ratios,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Key Ratios -> Financial Health,Balance Sheet Items (in %),Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Liquidity/Financial Health,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Key Ratios -> Efficiency Ratios,Efficiency,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,Revenue CNY Mil,Operating Income CNY Mil,Net Income CNY Mil,Earnings Per Share CNY,Dividends CNY,Book Value Per Share * CNY,Operating Cash Flow CNY Mil,Cap Spending CNY Mil,Free Cash Flow CNY Mil,Free Cash Flow Per Share * CNY,Working Capital CNY Mil,Revenue EUR Mil,Operating Income EUR Mil,Net Income EUR Mil,Earnings Per Share EUR,Dividends EUR,Book Value Per Share * EUR,Operating Cash Flow EUR Mil,Cap Spending EUR Mil,Free Cash Flow EUR Mil,Free Cash Flow Per Share * EUR,Working Capital EUR Mil,Revenue CHF Mil,Operating Income CHF Mil,Net Income CHF Mil,Earnings Per Share CHF,Dividends CHF,Book Value Per Share * CHF,Operating Cash Flow CHF Mil,Cap Spending CHF Mil,Free Cash Flow CHF Mil,Free Cash Flow Per Share * CHF,Working Capital CHF Mil,Revenue CAD Mil,Operating Income CAD Mil,Net Income CAD Mil,Earnings Per Share CAD,Dividends CAD,Book Value Per Share * CAD,Operating Cash Flow CAD Mil,Cap Spending CAD Mil,Free Cash Flow CAD Mil,Free Cash Flow Per Share * CAD,Working Capital CAD Mil,Revenue MXN Mil,Operating Income MXN Mil,Net Income MXN Mil,Earnings Per Share MXN,Dividends MXN,Book Value Per Share * MXN,Operating Cash Flow MXN Mil,Cap Spending MXN Mil,Free Cash Flow MXN Mil,Free Cash Flow Per Share * MXN,Working Capital MXN Mil,Revenue ILS Mil,Operating Income ILS Mil,Net Income ILS Mil,Earnings Per Share ILS,Dividends ILS,Book Value Per Share * ILS,Operating Cash Flow ILS Mil,Cap Spending ILS Mil,Free Cash Flow ILS Mil,Free Cash Flow Per Share * ILS,Working Capital ILS Mil,Revenue AUD Mil,Operating Income AUD Mil,Net Income AUD Mil,Earnings Per Share AUD,Dividends AUD,Book Value Per Share * AUD,Operating Cash Flow AUD Mil,Cap Spending AUD Mil,Free Cash Flow AUD Mil,Free Cash Flow Per Share * AUD,Working Capital AUD Mil,Revenue TWD Mil,Operating Income TWD Mil,Net Income TWD Mil,Earnings Per Share TWD,Dividends TWD,Book Value Per Share * TWD,Operating Cash Flow TWD Mil,Cap Spending TWD Mil,Free Cash Flow TWD Mil,Free Cash Flow Per Share * TWD,Working Capital TWD Mil,Revenue ARS Mil,Operating Income ARS Mil,Net Income ARS Mil,Earnings Per Share ARS,Dividends ARS,Book Value Per Share * ARS,Operating Cash Flow ARS Mil,Cap Spending ARS Mil,Free Cash Flow ARS Mil,Free Cash Flow Per Share * ARS,Working Capital ARS Mil,Revenue SEK Mil,Operating Income SEK Mil,Net Income SEK Mil,Earnings Per Share SEK,Dividends SEK,Book Value Per Share * SEK,Operating Cash Flow SEK Mil,Cap Spending SEK Mil,Free Cash Flow SEK Mil,Free Cash Flow Per Share * SEK,Working Capital SEK Mil,Revenue JPY Mil,Operating Income JPY Mil,Net Income JPY Mil,Earnings Per Share JPY,Dividends JPY,Book Value Per Share * JPY,Operating Cash Flow JPY Mil,Cap Spending JPY Mil,Free Cash Flow JPY Mil,Free Cash Flow Per Share * JPY,Working Capital JPY Mil,Revenue KRW Mil,Operating Income KRW Mil,Net Income KRW Mil,Earnings Per Share KRW,Dividends KRW,Book Value Per Share * KRW,Operating Cash Flow KRW Mil,Cap Spending KRW Mil,Free Cash Flow KRW Mil,Free Cash Flow Per Share * KRW,Working Capital KRW Mil,Revenue GBP Mil,Operating Income GBP Mil,Net Income GBP Mil,Earnings Per Share GBP,Dividends GBP,Book Value Per Share * GBP,Operating Cash Flow GBP Mil,Cap Spending GBP Mil,Free Cash Flow GBP Mil,Free Cash Flow Per Share * GBP,Working Capital GBP Mil,Revenue IDR Mil,Operating Income IDR Mil,Net Income IDR Mil,Earnings Per Share IDR,Dividends IDR,Book Value Per Share * IDR,Operating Cash Flow IDR Mil,Cap Spending IDR Mil,Free Cash Flow IDR Mil,Free Cash Flow Per Share * IDR,Working Capital IDR Mil,Revenue RUB Mil,Operating Income RUB Mil,Net Income RUB Mil,Earnings Per Share RUB,Dividends RUB,Book Value Per Share * RUB,Operating Cash Flow RUB Mil,Cap Spending RUB Mil,Free Cash Flow RUB Mil,Free Cash Flow Per Share * RUB,Working Capital RUB Mil,Revenue INR Mil,Operating Income INR Mil,Net Income INR Mil,Earnings Per Share INR,Dividends INR,Book Value Per Share * INR,Operating Cash Flow INR Mil,Cap Spending INR Mil,Free Cash Flow INR Mil,Free Cash Flow Per Share * INR,Working Capital INR Mil,Revenue DKK Mil,Operating Income DKK Mil,Net Income DKK Mil,Earnings Per Share DKK,Dividends DKK,Book Value Per Share * DKK,Operating Cash Flow DKK Mil,Cap Spending DKK Mil,Free Cash Flow DKK Mil,Free Cash Flow Per Share * DKK,Working Capital DKK Mil,,Revenue BRL Mil,Operating Income BRL Mil,Net Income BRL Mil,Earnings Per Share BRL,Dividends BRL,Book Value Per Share * BRL,Operating Cash Flow BRL Mil,Cap Spending BRL Mil,Free Cash Flow BRL Mil,Free Cash Flow Per Share * BRL,Working Capital BRL Mil,Revenue THB Mil,Operating Income THB Mil,Net Income THB Mil,Earnings Per Share THB,Dividends THB,Book Value Per Share * THB,Operating Cash Flow THB Mil,Cap Spending THB Mil,Free Cash Flow THB Mil,Free Cash Flow Per Share * THB,Working Capital THB Mil,Revenue CLP Mil,Operating Income CLP Mil,Net Income CLP Mil,Earnings Per Share CLP,Dividends CLP,Book Value Per Share * CLP,Operating Cash Flow CLP Mil,Cap Spending CLP Mil,Free Cash Flow CLP Mil,Free Cash Flow Per Share * CLP,Working Capital CLP Mil,Revenue COP Mil,Operating Income COP Mil,Net Income COP Mil,Earnings Per Share COP,Dividends COP,Book Value Per Share * COP,Operating Cash Flow COP Mil,Cap Spending COP Mil,Free Cash Flow COP Mil,Free Cash Flow Per Share * COP,Working Capital COP Mil,Revenue PEN Mil,Operating Income PEN Mil,Net Income PEN Mil,Earnings Per Share PEN,Dividends PEN,Book Value Per Share * PEN,Operating Cash Flow PEN Mil,Cap Spending PEN Mil,Free Cash Flow PEN Mil,Free Cash Flow Per Share * PEN,Working Capital PEN Mil,Revenue ZAR Mil,Operating Income ZAR Mil,Net Income ZAR Mil,Earnings Per Share ZAR,Dividends ZAR,Book Value Per Share * ZAR,Operating Cash Flow ZAR Mil,Cap Spending ZAR Mil,Free Cash Flow ZAR Mil,Free Cash Flow Per Share * ZAR,Working Capital ZAR Mil,Revenue PHP Mil,Operating Income PHP Mil,Net Income PHP Mil,Earnings Per Share PHP,Dividends PHP,Book Value Per Share * PHP,Operating Cash Flow PHP Mil,Cap Spending PHP Mil,Free Cash Flow PHP Mil,Free Cash Flow Per Share * PHP,Working Capital PHP Mil,Revenue PLN Mil,Operating Income PLN Mil,Net Income PLN Mil,Earnings Per Share PLN,Dividends PLN,Book Value Per Share * PLN,Operating Cash Flow PLN Mil,Cap Spending PLN Mil,Free Cash Flow PLN Mil,Free Cash Flow Per Share * PLN,Working Capital PLN Mil,Revenue TRY Mil,Operating Income TRY Mil,Net Income TRY Mil,Earnings Per Share TRY,Dividends TRY,Book Value Per Share * TRY,Operating Cash Flow TRY Mil,Cap Spending TRY Mil,Free Cash Flow TRY Mil,Free Cash Flow Per Share * TRY,Working Capital TRY Mil
0,0.34,7.61,,-0,,2.31,0.08,2.53,,6,,,,,,TTM,0,,1.41,6,1,2.31,2.3,73.57,,TTM,,0.48,1.08,,100.00,35,24.12,6,38.92,,PIH,Latest Qtr,,26.67,,,,,,,,TTM,,,0.06,15.73,11.14,,Latest Qtr,23.77,2.47,,,,0.18,,,100.00,5.63,,,,,,,,60.53,39.47,100.00,Latest Qtr,,,2.53,,,TTM,,,,,,,146.66,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.01,2.32,,-0,,,-0.53,1.03,,3,,,,,,TTM,-16,,,3,-5,-498.84,-498.8,-442.96,,TTM,,-19.13,-20.34,,100.00,1,442.96,31,,,TURN,Latest Qtr,,-266.67,,,,,,,,TTM,,,0.16,281.78,-0.16,,Latest Qtr,20.68,0.39,,-21.07,,,,,100.00,,,,,,,,,3.17,96.83,100.00,Latest Qtr,,,1.03,,,TTM,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.13,4.11,56.45,-33,,5.07,0.69,1.93,,41,43.55,43.6,,,,TTM,47,0.86,3.93,74,50,4.21,4.2,2.82,,TTM,3.30,8.36,18.96,11.16,100.00,"1,185",33.22,68,22.41,,FLWS,Latest Qtr,,-16.67,,,,,,,,TTM,,,2.78,3.42,0.87,,Latest Qtr,1.78,6.97,28.97,5.26,42.98,30.74,24.07,2.21,100.00,5.35,1.54,,13.08,,19.98,19.41,8.73,48.12,51.88,100.00,Latest Qtr,2.15,0.44,1.93,0.37,,TTM,12.09,92.70,16.34,88.46,30.18,3.94,7.28,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.04,13.82,,-1,0.15,27.41,1.01,9.58,,14,,,,,,TTM,8,-1.00,18.69,14,12,27.41,27.4,20.67,14.8,TTM,,0.79,7.80,,100.00,45,50.92,8,31.84,,FCCY,Latest Qtr,,-9.09,,,,,,,,TTM,,,1.58,30.03,1.61,,Latest Qtr,1.46,0.29,,,,0.99,1.18,,100.00,,5.89,,0.07,,,1.74,,89.56,10.44,100.00,Latest Qtr,,,9.58,0.17,,TTM,,,,,,,4.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.05,27.39,,-6,0.74,36.67,2.51,8.17,,125,,,,,,TTM,65,-2.21,23.54,131,101,36.67,36.7,23.97,29.5,TTM,,1.15,9.40,,100.00,276,37.15,26,35.39,,SRCE,Latest Qtr,,20.00,,,,,,,,TTM,,,2.25,45.24,1.91,,Latest Qtr,1.11,,,,,3.43,1.44,,100.00,,2.91,,,,,2.23,,87.76,12.24,100.00,Latest Qtr,,,8.17,0.18,,TTM,,,,,,,1.48,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.29,,79.53,,,-25.15,,2.04,,,20.47,20.5,-4.43,,,TTM,,-3.54,-22.19,,,-21.60,-21.6,11.29,,TTM,4.32,-6.46,-12.93,-7.15,100.00,,26.45,113,,,VNET,Latest Qtr,,-18.18,,,,,,,,TTM,,,15.32,-10.37,0.63,,Latest Qtr,6.42,7.34,0.04,24.09,37.88,33.32,23.94,4.86,100.00,,14.42,0.13,,20.00,34.54,2.23,14.12,50.90,49.10,100.00,Latest Qtr,1.10,0.40,2.04,0.14,,TTM,89.37,0.80,93.75,-3.58,4.08,456.77,0.93,0.29,"3,610",-780,-590,-7.32,,7.77,179,-553,-374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.72,7.08,18.72,-46,,-12.86,-0.66,1.29,,-52,81.28,81.3,-894.00,,,TTM,-32,-0.22,-12.49,-6,-33,-12.64,-12.6,,,TTM,16.15,-9.04,-11.43,-11.57,100.00,257,77.77,48,,,TWOU,Latest Qtr,,114.29,,,,,,,,TTM,,,17.68,-20.19,1.62,,Latest Qtr,42.50,8.89,,2.72,54.10,9.45,31.99,4.45,100.00,,,,3.16,12.37,15.52,,6.90,22.43,77.57,100.00,Latest Qtr,3.48,3.31,1.29,,,TTM,44.88,,,,8.13,,9.74,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.32,,27.46,,,16.01,,1.67,,,72.54,72.5,,,,TTM,,-12.55,10.10,,,28.56,28.6,,,TTM,,3.26,5.29,4.12,100.00,,43.98,60,36.75,,JOBS,Latest Qtr,,-250.00,,,,,,,,TTM,,,1.74,38.92,3.85,,Latest Qtr,80.77,1.49,,5.98,88.24,5.47,3.10,3.19,100.00,0.41,,1.61,1.36,17.71,21.10,18.32,0.85,40.27,59.73,100.00,Latest Qtr,4.18,3.90,1.67,0.31,,TTM,15.54,,18.12,,23.49,,5.15,0.32,"2,673",763,270,4.55,,13.45,"1,087",-47,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.05,3.31,12.22,,1.01,10.81,0.54,6.28,,81,87.78,87.8,1.36,,,TTM,-6,-25.80,23.11,81,25,36.60,36.6,39.84,187.1,TTM,,1.12,4.68,3.09,100.00,69,11.34,43,145.59,,CAFD,Latest Qtr,,-28.95,,,,,,,,TTM,,,,117.41,-13.63,,Latest Qtr,0.63,0.66,,0.75,2.04,43.78,0.09,54.09,100.00,0.06,,,0.02,0.66,0.74,51.36,47.90,100.00,,100.00,Latest Qtr,3.26,2.06,6.28,2.71,,TTM,56.50,,88.60,,6.46,,0.10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.80,3.34,23.61,-16,,-4.34,-0.07,1.17,,10,76.39,76.4,,,,TTM,-7,1.29,-2.56,26,-15,-5.63,-5.6,,,TTM,11.22,-2.05,-2.37,-2.37,100.00,272,70.80,92,,,EGHT,Latest Qtr,,,,,,,,,,TTM,,,5.86,3.79,-1.48,,Latest Qtr,46.68,4.24,,3.35,54.27,8.27,17.46,20.00,100.00,5.62,,1.48,5.98,0.70,13.79,,0.44,14.22,85.78,100.00,Latest Qtr,3.94,3.69,1.17,,,TTM,18.03,,97.14,,20.25,,12.10,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Qtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
